GIIRank,HDIRank,Country,GIIValue,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP) in 2019,Expenditure on education(% of government spending),Year,True
84.0,93.0,Fiji,0.37,4.0,14.3,2013.0,both
85.0,124.0,El Salvador,0.383,7.0,15.63,2017.0,both
86.0,86.0,Ecuador,0.384,8.0,12.6,2015.0,both
87.0,79.0,Peru,0.395,5.0,18.24,2017.0,both
88.0,101.0,Jamaica,0.396,6.0,18.4,2017.0,both
90.0,86.0,Saint Lucia,0.401,4.0,21.98,2016.0,both
90.0,72.0,Sri Lanka,0.401,4.0,14.5,2017.0,both
92.0,160.0,Rwanda,0.402,6.0,11.08,2017.0,both
93.0,114.0,South Africa,0.406,9.0,18.73,2017.0,both
95.0,84.0,Brazil,0.408,10.0,16.25,2015.0,both
96.0,92.0,Lebanon,0.411,9.0,8.58,2013.0,both
97.0,110.0,Belize,0.415,6.0,21.68,2017.0,both
98.0,107.0,Bolivia,0.417,7.0,16.84,2014.0,both
99.0,129.0,Bhutan,0.421,4.0,24.04,2017.0,both
100.0,132.0,Honduras,0.423,7.0,22.02,2017.0,both
101.0,83.0,Colombia,0.428,8.0,15.17,2017.0,both
106.0,130.0,Namibia,0.44,8.0,7.64,2014.0,both
109.0,102.0,Jordan,0.45,8.0,12.53,2017.0,both
110.0,142.0,Nepal,0.452,4.0,15.75,2017.0,both
113.0,70.0,Iran,0.459,7.0,20.04,2017.0,both
115.0,122.0,Guyana,0.462,5.0,18.28,2017.0,both
117.0,144.0,Cambodia,0.474,7.0,8.79,2014.0,both
118.0,147.0,Myanmar,0.478,5.0,9.41,2018.0,both
119.0,127.0,Guatemala,0.479,6.0,23.09,2017.0,both
121.0,107.0,Indonesia,0.48,3.0,20.5,2015.0,both
123.0,131.0,India,0.488,3.0,14.05,2013.0,both
124.0,185.0,Burundi,0.504,8.0,20.4,2017.0,both
125.0,173.0,Ethiopia,0.517,3.0,27.1,2015.0,both
126.0,143.0,Kenya,0.518,5.0,17.58,2017.0,both
127.0,181.0,Mozambique,0.523,8.0,18.98,2013.0,both
128.0,119.0,Gabon,0.525,3.0,11.23,2014.0,both
129.0,150.0,Zimbabwe,0.527,8.0,30.01,2014.0,both
130.0,168.0,Senegal,0.533,4.0,21.56,2017.0,both
131.0,159.0,Uganda,0.535,4.0,12.01,2017.0,both
133.0,135.0,Sao Tome and Principe,0.537,6.0,18.4,2017.0,both
133.0,133.0,Bangladesh,0.537,2.0,11.42,2016.0,both
135.0,138.0,Ghana,0.538,3.0,20.1,2017.0,both
135.0,154.0,Pakistan,0.538,3.0,13.85,2017.0,both
139.0,165.0,Lesotho,0.553,11.0,13.8,2018.0,both
141.0,153.0,Cameroon,0.56,4.0,15.47,2017.0,both
142.0,174.0,Malawi,0.565,7.0,14.34,2017.0,both
143.0,138.0,Eswatini,0.567,7.0,24.95,2014.0,both
145.0,167.0,Togo,0.573,6.0,15.99,2016.0,both
147.0,182.0,Burkina Faso,0.594,5.0,18.03,2015.0,both
148.0,158.0,Benin,0.612,2.0,18.79,2016.0,both
148.0,172.0,Gambia,0.612,4.0,10.36,2016.0,both
150.0,175.0,Democratic Republic of the Congo,0.617,4.0,11.71,2017.0,both
151.0,157.0,Mauritania,0.634,3.0,9.33,2016.0,both
152.0,170.0,Haiti,0.636,5.0,13.13,2016.0,both
153.0,162.0,Côte d'Ivoire,0.638,3.0,18.62,2017.0,both
154.0,189.0,Niger,0.642,6.0,13.25,2017.0,both
155.0,182.0,Sierra Leone,0.644,9.0,19.92,2017.0,both
156.0,175.0,Liberia,0.65,8.0,7.06,2017.0,both
157.0,169.0,Afghanistan,0.655,13.0,15.66,2017.0,both
158.0,184.0,Mali,0.671,4.0,13.9,2016.0,both
160.0,187.0,Chad,0.71,4.0,12.46,2013.0,both
,,Grenada,,,42.79,2016.0,right_only
,,Micronesia,,,22.31,2015.0,right_only
,,Turkmenistan,,,20.8,2012.0,right_only
,,Saint Vincent and the Grenadines,,,18.98,2017.0,right_only
,,Madagascar,,,18.97,2014.0,right_only
,,Hong Kong,,,17.84,2017.0,right_only
,,Guinea-Bissau,,,16.19,2013.0,right_only
,,Comoros,,,15.27,2015.0,right_only
,,Albania,,,13.6,2016.0,right_only
,,Vanuatu,,,11.78,2017.0,right_only
,,Seychelles,,,11.72,2016.0,right_only
,,Dominica,,,10.52,2015.0,right_only
,,Saint Kitts and Nevis,,,8.64,2015.0,right_only
,,Timor-Leste,,,6.77,2014.0,right_only
,,South Sudan,,,1.07,2017.0,right_only
